2026-09-11T21:43:57.054Z	start	0	0
2026-09-11T21:43:57.054Z	args	["--cwd","F:/Fallout4Mapping-1.10.163","--resume","C:/Users/micha/.omp/agent/sessions/--F--Fallout4Mapping-1.10.163--/2026-09-11T18-54-55-486Z_01a091d2-a1fe-7599-a968-22846fd4ee62.jsonl"]	0
2026-09-11T21:43:57.102Z	data	61	61
2026-09-11T21:43:57.511Z	data	8	69
2026-09-11T21:43:58.132Z	data	86	155
2026-09-11T21:43:58.140Z	data	74	229
2026-09-11T21:43:58.152Z	data	5110	5339
2026-09-11T21:43:58.345Z	data	10	5349
2026-09-11T21:43:58.363Z	data	7	5356
2026-09-11T21:44:00.065Z	data	1742	7098
2026-09-11T21:44:00.343Z	data	538	7636
2026-09-11T21:44:00.386Z	data	538	8174
2026-09-11T21:44:00.447Z	data	10	8184
2026-09-11T21:44:00.485Z	data	544	8728
2026-09-11T21:44:00.533Z	data	10	8738
2026-09-11T21:44:00.809Z	data	10	8748
2026-09-11T21:44:01.569Z	data	5770	14518
2026-09-11T21:44:01.572Z	data	2960	17478
2026-09-11T21:44:01.690Z	data	3937	21415
2026-09-11T21:44:01.692Z	data	4015	25430
2026-09-11T21:44:01.697Z	data	5673	31103
2026-09-11T21:44:01.701Z	data	5766	36869
2026-09-11T21:44:01.704Z	data	6430	43299
2026-09-11T21:44:01.709Z	data	8066	51365
2026-09-11T21:44:01.713Z	data	7072	58437
2026-09-11T21:44:01.719Z	data	9835	68272
2026-09-11T21:44:01.725Z	data	10203	78475
2026-09-11T21:44:01.732Z	data	13318	91793
2026-09-11T21:44:01.739Z	data	12219	104012
2026-09-11T21:44:01.747Z	data	14092	118104
2026-09-11T21:44:01.754Z	data	13452	131556
2026-09-11T21:44:01.762Z	data	16808	148364
2026-09-11T21:44:01.770Z	data	16441	164805
2026-09-11T21:44:01.778Z	data	16971	181776
2026-09-11T21:44:01.786Z	data	14238	196014
2026-09-11T21:44:01.796Z	data	19146	215160
2026-09-11T21:44:01.806Z	data	17762	232922
2026-09-11T21:44:01.818Z	data	24103	257025
2026-09-11T21:44:01.827Z	data	21944	278969
2026-09-11T21:44:01.841Z	data	23033	302002
2026-09-11T21:44:01.854Z	data	23816	325818
2026-09-11T21:44:01.871Z	data	33134	358952
2026-09-11T21:44:01.890Z	data	30562	389514
2026-09-11T21:44:01.908Z	data	33578	423092
2026-09-11T21:44:01.928Z	data	33536	456628
2026-09-11T21:44:01.945Z	data	31921	488549
2026-09-11T21:44:01.966Z	data	38030	526579
2026-09-11T21:44:01.982Z	data	31642	558221
2026-09-11T21:44:02.007Z	data	40009	598230
2026-09-11T21:44:02.025Z	data	38050	636280
2026-09-11T21:44:02.046Z	data	41097	677377
2026-09-11T21:44:02.063Z	data	38610	715987
2026-09-11T21:44:02.086Z	data	37666	753653
2026-09-11T21:44:02.103Z	data	35136	788789
2026-09-11T21:44:02.126Z	data	45492	834281
2026-09-11T21:44:02.145Z	data	41693	875974
2026-09-11T21:44:02.167Z	data	39270	915244
2026-09-11T21:44:02.187Z	data	35063	950307
2026-09-11T21:44:02.209Z	data	39564	989871
2026-09-11T21:44:02.228Z	data	36836	1026707
2026-09-11T21:44:02.249Z	data	40306	1067013
2026-09-11T21:44:02.274Z	data	42793	1109806
2026-09-11T21:44:02.298Z	data	45695	1155501
2026-09-11T21:44:02.321Z	data	46965	1202466
2026-09-11T21:44:02.347Z	data	47312	1249778
2026-09-11T21:44:02.372Z	data	47422	1297200
2026-09-11T21:44:02.400Z	data	54287	1351487
2026-09-11T21:44:02.426Z	data	50085	1401572
2026-09-11T21:44:02.458Z	data	49900	1451472
2026-09-11T21:44:02.487Z	data	55494	1506966
2026-09-11T21:44:02.512Z	data	56989	1563955
2026-09-11T21:44:02.537Z	data	57208	1621163
2026-09-11T21:44:02.570Z	data	56097	1677260
2026-09-11T21:44:02.596Z	data	53945	1731205
2026-09-11T21:44:02.622Z	data	53737	1784942
2026-09-11T21:44:02.653Z	data	56694	1841636
2026-09-11T21:44:02.680Z	data	59750	1901386
2026-09-11T21:44:02.709Z	data	61207	1962593
2026-09-11T21:44:02.735Z	data	54983	2017576
2026-09-11T21:44:02.764Z	data	60270	2077846
2026-09-11T21:44:02.791Z	data	58944	2136790
2026-09-11T21:44:02.821Z	data	57400	2194190
2026-09-11T21:44:02.844Z	data	44005	2238195
2026-09-11T21:44:02.868Z	data	50851	2289046
2026-09-11T21:44:02.889Z	data	42384	2331430
2026-09-11T21:44:02.911Z	data	43919	2375349
2026-09-11T21:44:02.932Z	data	45220	2420569
2026-09-11T21:44:02.957Z	data	49535	2470104
2026-09-11T21:44:02.979Z	data	46244	2516348
2026-09-11T21:44:03.003Z	data	50029	2566377
2026-09-11T21:44:03.024Z	data	46548	2612925
2026-09-11T21:44:03.049Z	data	49328	2662253
2026-09-11T21:44:03.076Z	data	47027	2709280
2026-09-11T21:44:03.092Z	data	24593	2733873
2026-09-11T21:44:03.099Z	data	10	2733883
2026-09-11T21:44:04.443Z	data	69	2733952
2026-09-11T21:44:04.922Z	data	60	2734012
2026-09-11T21:44:05.651Z	data	151	2734163
2026-09-11T21:44:06.511Z	data	64	2734227
2026-09-11T21:44:06.878Z	data	1786	2736013
2026-09-11T21:44:06.878Z	data	529	2736542
2026-09-11T21:44:09.303Z	data	11	2736553
2026-09-11T21:44:09.531Z	data	737	2737290
2026-09-11T21:44:09.788Z	data	133	2737423
2026-09-11T21:44:10.205Z	data	42	2737465
2026-09-11T21:44:10.579Z	data	51	2737516
2026-09-11T21:44:12.044Z	data	1396	2738912
2026-09-11T21:44:12.045Z	data	852	2739764
2026-09-11T21:44:12.102Z	data	48	2739812
2026-09-11T21:44:12.110Z	data	515	2740327
2026-09-11T21:44:12.121Z	data	26	2740353
2026-09-11T21:44:12.179Z	data	2210	2742563
2026-09-11T21:44:12.179Z	data	26	2742589
2026-09-11T21:44:12.198Z	data	10	2742599
2026-09-11T21:44:12.225Z	data	515	2743114
2026-09-11T21:44:12.225Z	data	26	2743140
2026-09-11T21:44:12.267Z	data	515	2743655
2026-09-11T21:44:12.267Z	data	26	2743681
2026-09-11T21:44:12.299Z	data	515	2744196
2026-09-11T21:44:12.306Z	data	26	2744222
2026-09-11T21:44:12.334Z	data	2354	2746576
2026-09-11T21:44:12.334Z	data	26	2746602
2026-09-11T21:44:12.368Z	data	2353	2748955
2026-09-11T21:44:12.368Z	data	26	2748981
2026-09-11T21:44:12.401Z	data	2361	2751342
2026-09-11T21:44:12.401Z	data	26	2751368
2026-09-11T21:44:12.435Z	data	2360	2753728
2026-09-11T21:44:12.435Z	data	26	2753754
2026-09-11T21:44:12.470Z	data	2359	2756113
2026-09-11T21:44:12.470Z	data	26	2756139
2026-09-11T21:44:12.509Z	data	2358	2758497
2026-09-11T21:44:12.510Z	data	26	2758523
2026-09-11T21:44:12.544Z	data	2358	2760881
2026-09-11T21:44:12.544Z	data	26	2760907
2026-09-11T21:44:12.576Z	data	2339	2763246
2026-09-11T21:44:12.576Z	data	26	2763272
2026-09-11T21:44:12.609Z	data	121	2763393
2026-09-11T21:44:12.714Z	data	2353	2765746
2026-09-11T21:44:12.714Z	data	26	2765772
2026-09-11T21:44:12.749Z	data	2353	2768125
2026-09-11T21:44:12.749Z	data	26	2768151
2026-09-11T21:44:12.786Z	data	116	2768267
2026-09-11T21:44:12.851Z	data	2331	2770598
2026-09-11T21:44:12.851Z	data	26	2770624
2026-09-11T21:44:12.953Z	data	514	2771138
2026-09-11T21:44:12.953Z	data	26	2771164
2026-09-11T21:44:13.023Z	data	514	2771678
2026-09-11T21:44:13.023Z	data	26	2771704
2026-09-11T21:44:13.093Z	data	514	2772218
2026-09-11T21:44:13.093Z	data	26	2772244
2026-09-11T21:44:13.197Z	data	514	2772758
2026-09-11T21:44:13.197Z	data	26	2772784
2026-09-11T21:44:13.265Z	data	514	2773298
2026-09-11T21:44:13.265Z	data	26	2773324
2026-09-11T21:44:13.336Z	data	2358	2775682
2026-09-11T21:44:13.336Z	data	26	2775708
2026-09-11T21:44:13.439Z	data	2358	2778066
2026-09-11T21:44:13.439Z	data	26	2778092
2026-09-11T21:44:13.507Z	data	2339	2780431
2026-09-11T21:44:13.507Z	data	26	2780457
2026-09-11T21:44:13.574Z	data	2353	2782810
2026-09-11T21:44:13.575Z	data	26	2782836
2026-09-11T21:44:13.644Z	data	2353	2785189
2026-09-11T21:44:13.645Z	data	26	2785215
2026-09-11T21:44:13.746Z	data	2349	2787564
2026-09-11T21:44:13.746Z	data	26	2787590
2026-09-11T21:44:13.815Z	data	2331	2789921
2026-09-11T21:44:13.816Z	data	26	2789947
2026-09-11T21:44:13.915Z	data	514	2790461
2026-09-11T21:44:13.915Z	data	26	2790487
2026-09-11T21:44:13.984Z	data	514	2791001
2026-09-11T21:44:13.984Z	data	26	2791027
2026-09-11T21:44:14.053Z	data	514	2791541
2026-09-11T21:44:14.053Z	data	26	2791567
2026-09-11T21:44:14.157Z	data	514	2792081
2026-09-11T21:44:14.157Z	data	26	2792107
2026-09-11T21:44:14.228Z	data	2349	2794456
2026-09-11T21:44:14.228Z	data	26	2794482
2026-09-11T21:44:14.297Z	data	2358	2796840
2026-09-11T21:44:14.297Z	data	26	2796866
2026-09-11T21:44:14.365Z	data	2358	2799224
2026-09-11T21:44:14.365Z	data	26	2799250
2026-09-11T21:44:14.467Z	data	2339	2801589
2026-09-11T21:44:14.467Z	data	26	2801615
2026-09-11T21:44:14.537Z	data	2353	2803968
2026-09-11T21:44:14.537Z	data	26	2803994
2026-09-11T21:44:14.605Z	data	2353	2806347
2026-09-11T21:44:14.605Z	data	26	2806373
2026-09-11T21:44:14.710Z	data	2331	2808704
2026-09-11T21:44:14.710Z	data	26	2808730
2026-09-11T21:44:14.779Z	data	514	2809244
2026-09-11T21:44:14.779Z	data	26	2809270
2026-09-11T21:44:14.850Z	data	514	2809784
2026-09-11T21:44:14.850Z	data	26	2809810
2026-09-11T21:44:14.953Z	data	514	2810324
2026-09-11T21:44:14.953Z	data	26	2810350
2026-09-11T21:44:15.021Z	data	514	2810864
2026-09-11T21:44:15.021Z	data	26	2810890
2026-09-11T21:44:15.091Z	data	514	2811404
2026-09-11T21:44:15.092Z	data	26	2811430
2026-09-11T21:44:15.196Z	data	2358	2813788
2026-09-11T21:44:15.196Z	data	26	2813814
2026-09-11T21:44:15.264Z	data	2358	2816172
2026-09-11T21:44:15.265Z	data	26	2816198
2026-09-11T21:44:15.333Z	data	2358	2818556
2026-09-11T21:44:15.334Z	data	26	2818582
2026-09-11T21:44:15.436Z	data	2353	2820935
2026-09-11T21:44:15.437Z	data	26	2820961
2026-09-11T21:44:15.505Z	data	2353	2823314
2026-09-11T21:44:15.505Z	data	26	2823340
2026-09-11T21:44:15.573Z	data	2353	2825693
2026-09-11T21:44:15.573Z	data	26	2825719
2026-09-11T21:44:15.677Z	data	2331	2828050
2026-09-11T21:44:15.677Z	data	26	2828076
2026-09-11T21:44:15.743Z	data	514	2828590
2026-09-11T21:44:15.743Z	data	26	2828616
2026-09-11T21:44:15.810Z	data	514	2829130
2026-09-11T21:44:15.810Z	data	26	2829156
2026-09-11T21:44:15.916Z	data	514	2829670
2026-09-11T21:44:15.916Z	data	26	2829696
2026-09-11T21:44:16.007Z	data	514	2830210
2026-09-11T21:44:16.007Z	data	26	2830236
2026-09-11T21:44:16.067Z	data	112	2830348
2026-09-11T21:44:16.138Z	data	2358	2832706
2026-09-11T21:44:16.138Z	data	26	2832732
2026-09-11T21:44:16.197Z	data	2358	2835090
2026-09-11T21:44:16.197Z	data	26	2835116
2026-09-11T21:44:16.232Z	data	1645	2836761
2026-09-11T21:44:16.232Z	data	680	2837441
2026-09-11T21:44:16.264Z	data	1356	2838797
2026-09-11T21:44:16.265Z	data	26	2838823
2026-09-11T21:44:16.296Z	data	121	2838944
2026-09-11T21:44:16.331Z	data	1621	2840565
2026-09-11T21:44:16.331Z	data	26	2840591
2026-09-11T21:44:16.384Z	data	116	2840707
2026-09-11T21:44:16.476Z	data	1929	2842636
2026-09-11T21:44:16.476Z	data	528	2843164
2026-09-11T21:44:16.556Z	data	1393	2844557
2026-09-11T21:44:16.556Z	data	26	2844583
2026-09-11T21:44:16.621Z	data	1658	2846241
2026-09-11T21:44:16.621Z	data	26	2846267
2026-09-11T21:44:16.689Z	data	2087	2848354
2026-09-11T21:44:16.689Z	data	26	2848380
2026-09-11T21:44:16.792Z	data	2367	2850747
2026-09-11T21:44:16.792Z	data	26	2850773
2026-09-11T21:44:16.861Z	data	2349	2853122
2026-09-11T21:44:16.862Z	data	26	2853148
2026-09-11T21:44:16.929Z	data	514	2853662
2026-09-11T21:44:16.929Z	data	26	2853688
2026-09-11T21:44:17.023Z	data	514	2854202
2026-09-11T21:44:17.023Z	data	26	2854228
2026-09-11T21:44:17.057Z	data	514	2854742
2026-09-11T21:44:17.057Z	data	26	2854768
2026-09-11T21:44:17.101Z	data	10	2854778
2026-09-11T21:44:17.171Z	data	514	2855292
2026-09-11T21:44:17.171Z	data	26	2855318
2026-09-11T21:44:17.277Z	data	2367	2857685
2026-09-11T21:44:17.277Z	data	26	2857711
2026-09-11T21:44:17.345Z	data	2376	2860087
2026-09-11T21:44:17.345Z	data	26	2860113
2026-09-11T21:44:17.413Z	data	2376	2862489
2026-09-11T21:44:17.413Z	data	26	2862515
2026-09-11T21:44:17.515Z	data	2376	2864891
2026-09-11T21:44:17.515Z	data	26	2864917
2026-09-11T21:44:17.583Z	data	2395	2867312
2026-09-11T21:44:17.584Z	data	26	2867338
2026-09-11T21:44:17.652Z	data	2395	2869733
2026-09-11T21:44:17.652Z	data	26	2869759
2026-09-11T21:44:17.755Z	data	2395	2872154
2026-09-11T21:44:17.755Z	data	26	2872180
2026-09-11T21:44:17.823Z	data	2395	2874575
2026-09-11T21:44:17.824Z	data	26	2874601
2026-09-11T21:44:17.893Z	data	2395	2876996
2026-09-11T21:44:17.894Z	data	26	2877022
2026-09-11T21:44:17.997Z	data	2395	2879417
2026-09-11T21:44:17.997Z	data	26	2879443
2026-09-11T21:44:18.065Z	data	2395	2881838
2026-09-11T21:44:18.065Z	data	26	2881864
2026-09-11T21:44:18.133Z	data	2376	2884240
2026-09-11T21:44:18.134Z	data	26	2884266
2026-09-11T21:44:18.237Z	data	2371	2886637
2026-09-11T21:44:18.237Z	data	26	2886663
2026-09-11T21:44:18.304Z	data	2371	2889034
2026-09-11T21:44:18.304Z	data	26	2889060
2026-09-11T21:44:18.373Z	data	2367	2891427
2026-09-11T21:44:18.373Z	data	26	2891453
2026-09-11T21:44:18.477Z	data	2349	2893802
2026-09-11T21:44:18.477Z	data	26	2893828
2026-09-11T21:44:18.544Z	data	514	2894342
2026-09-11T21:44:18.545Z	data	26	2894368
2026-09-11T21:44:18.612Z	data	514	2894882
2026-09-11T21:44:18.612Z	data	26	2894908
2026-09-11T21:44:18.718Z	data	514	2895422
2026-09-11T21:44:18.718Z	data	26	2895448
2026-09-11T21:44:18.786Z	data	514	2895962
2026-09-11T21:44:18.786Z	data	26	2895988
2026-09-11T21:44:18.857Z	data	2376	2898364
2026-09-11T21:44:18.857Z	data	26	2898390
2026-09-11T21:44:18.925Z	data	2376	2900766
2026-09-11T21:44:18.925Z	data	26	2900792
2026-09-11T21:44:19.028Z	data	2376	2903168
2026-09-11T21:44:19.029Z	data	26	2903194
2026-09-11T21:44:19.098Z	data	2395	2905589
2026-09-11T21:44:19.098Z	data	26	2905615
2026-09-11T21:44:19.168Z	data	2395	2908010
2026-09-11T21:44:19.169Z	data	26	2908036
2026-09-11T21:44:19.278Z	data	2395	2910431
2026-09-11T21:44:19.278Z	data	26	2910457
2026-09-11T21:44:19.347Z	data	2395	2912852
2026-09-11T21:44:19.347Z	data	26	2912878
2026-09-11T21:44:19.417Z	data	2395	2915273
2026-09-11T21:44:19.417Z	data	26	2915299
2026-09-11T21:44:19.485Z	data	2395	2917694
2026-09-11T21:44:19.486Z	data	26	2917720
2026-09-11T21:44:19.590Z	data	2395	2920115
2026-09-11T21:44:19.590Z	data	26	2920141
2026-09-11T21:44:19.659Z	data	2376	2922517
2026-09-11T21:44:19.659Z	data	26	2922543
2026-09-11T21:44:19.728Z	data	2371	2924914
2026-09-11T21:44:19.728Z	data	26	2924940
2026-09-11T21:44:19.830Z	data	2371	2927311
2026-09-11T21:44:19.830Z	data	26	2927337
2026-09-11T21:44:19.898Z	data	2367	2929704
2026-09-11T21:44:19.898Z	data	26	2929730
2026-09-11T21:44:19.967Z	data	2349	2932079
2026-09-11T21:44:19.968Z	data	26	2932105
2026-09-11T21:44:20.069Z	data	514	2932619
2026-09-11T21:44:20.069Z	data	26	2932645
